CODE_NUTS3,POP_DENS,POP 0-14,POP 15-29,POP 30-44,POP 45-59,POP_GROWTH,HOUSEHOLDS,DWELLINGS,SURFACE AREA,NTL_avg,NO2_avg,WIND_Avg,Temp_mean_over12yrs,PRESSURE_avg,PRECIPITATION,SOLAR_RAD_avg,LAI_avg
DE128,518.0,76819.0,88467.0,98514.0,131496.0,3.0,262037,266663,1049.26,26.7702989578247,5.21449768913013,2.77757331132889,9.79979553595185,0.969095290369458,72.7620757632785,10768.2884318034,1.61444370210171
DE25A,79.0,13604.0,16553.0,17491.0,24497.0,3.0,45683,45895,1252.6,8.94403589473051,3.67406944758086,2.96698909572193,8.55553075751024,0.907624829028334,58.934647832598,10645.6561250233,1.75039547201126
NL132,184.0,24760.0,27180.0,26614.0,39257.0,0.0,75492,76996,911.23,17.494124009059,5.87922222570137,3.5820775449276,9.17364008526007,0.987988996505737,64.5370950698853,9560.53290405273,2.65493376925588
DEA22,2323.0,47874.0,68102.0,66290.0,68334.0,5.0,171094,173795,139.27,41.0648142496745,6.58966898511129,3.08246529102325,10.1347802480062,0.977106471856435,59.7390047709147,9969.37561035156,1.49107142005648
UKJ31,5358.0,38126.0,57837.0,41467.0,39136.0,4.0,93846,91118,39.97,37.4253468513489,5.83882408362848,4.96738317807515,10.4934883832932,1.06332716743151,68.5834145228068,10228.6090698242,0.775512475520372
DE71A,1073.0,35857.0,35411.0,44960.0,57170.0,4.0,114975,113194,219.57,47.625,5.29131481802022,2.91044561068217,9.86990743875504,0.956345491111279,52.7789354324341,10377.6903788249,1.44964053517296
DEA11,2855.0,84624.0,108299.0,137373.0,134868.0,4.0,345371,346207,214.6,54.7314821879069,9.46797222848292,3.45210259490543,10.4902392294672,0.999442521068785,68.0910493002997,9736.37885877821,1.11939948019774
DEA27,665.0,66220.0,74428.0,83100.0,113014.0,3.0,220234,222620,695.67,34.966821246677,9.46797222848292,3.30447706670472,10.2824126861312,0.988263893308062,59.2356903480761,9910.53245590672,0.874781495451366
DEA26,279.0,35823.0,44675.0,44405.0,63235.0,2.0,122432,124927,929.23,20.4476008848711,6.76956713287919,3.50183847928658,9.72122062169588,0.967495990487245,61.9207176795373,10009.8011904985,0.975016635154253
DEF07,77.0,21208.0,27073.0,26080.0,39705.0,2.0,82615,98180,2126.48,5.24925591158015,2.74639895193846,5.50876191390885,8.56528369320763,0.973355565799607,68.4877130508423,9562.40291646322,2.36618123504044
DEC05,341.0,16777.0,22073.0,22692.0,34642.0,-1.0,70595,73483,413.72,18.5868056615194,4.09521065056324,3.25285494327545,9.1290124108394,0.943757721119457,76.3742280536228,10832.007663303,1.68009807247865
FR102,241.0,297247.0,264533.0,287928.0,290189.0,3.0,554540,604082,5863.81,19.8069249341186,4.83058333650783,3.92066460763904,10.4370720806256,1.03738491586956,52.9425127047328,11359.2825901945,0.85279977908358
DE401,314.0,8529.0,9229.0,12942.0,15869.0,1.0,40801,43339,225.48,13.8425928751628,3.29278703966626,3.81250001986822,9.40960652505358,0.947673618793488,46.3388311068217,10065.7486216227,1.66746088473693
UKG22,101.0,49746.0,49566.0,51912.0,71925.0,4.0,142334,145979,3155.9,9.83333331381991,3.82709490687207,3.62843914968627,8.92934717923876,0.971308559415832,69.9326911956545,9648.41135709248,2.42252496643179
UKF11,3322.0,51410.0,53745.0,49919.0,49284.0,3.0,110574,110902,77.02,41.644097328186,4.79300925808924,4.23440394798915,9.33252329627673,0.975480328003565,55.5804398854574,9437.5321858724,1.91401138305664
DEA36,809.0,80416.0,96840.0,103821.0,149516.0,0.0,306681,316695,751.16,35.7874999046326,8.04720833823085,3.5449826280276,9.90921873450279,0.990370952586333,70.7571178118388,9617.56133422852,1.96759466129013
DEB37,660.0,5099.0,6599.0,6263.0,9209.0,1.0,21640,24676,60.66,13.1412038008372,4.5838796308747,3.27766205867132,8.58466437955697,0.927494208017985,72.8049761454264,10851.0762532552,1.64583337306976
